,step,mx,final,xy
266,40,10,-207.0,"(25537.0, 4145.0)"
267,40,10,-190.0,"(22735.0, 5314.0)"
268,40,10,-95.0,"(26736.0, 4145.0)"
269,40,10,52.0,"(26736.0, 4145.0)"
270,40,15,-263.0,"(25537.0, 5728.0)"
271,40,15,-300.0,"(27353.0, 4145.0)"
272,40,15,-279.0,"(27353.0, 4145.0)"
273,40,15,-282.0,"(25537.0, 4145.0)"
274,40,15,-259.0,"(24210.0, 5955.0)"
275,40,15,-287.0,"(22735.0, 5314.0)"
276,40,15,-252.0,"(25537.0, 6035.0)"
277,40,15,-270.0,"(24210.0, 5955.0)"
278,40,15,-264.0,"(25537.0, 5728.0)"
279,40,15,-292.0,"(22735.0, 5314.0)"
280,40,20,-396.0,"(27353.0, 4145.0)"
281,40,20,-404.0,"(25537.0, 6035.0)"
282,40,20,-420.0,"(25537.0, 4145.0)"
283,40,20,-430.0,"(22735.0, 5314.0)"
284,40,20,-418.0,"(25537.0, 6035.0)"
285,40,20,-73.0,"(24210.0, 5955.0)"
286,40,20,-380.0,"(25537.0, 6035.0)"
287,40,20,-92.0,"(26736.0, 4145.0)"
288,40,20,-417.0,"(25537.0, 6035.0)"
289,40,20,-379.0,"(25537.0, 5728.0)"
290,40,50,-1007.0,"(25537.0, 6035.0)"
291,40,50,-989.0,"(25537.0, 6035.0)"
292,40,50,-975.0,"(22735.0, 5314.0)"
293,40,50,-993.0,"(25537.0, 5728.0)"
294,40,50,-998.0,"(25537.0, 4145.0)"
295,40,50,-1028.0,"(25537.0, 5728.0)"
296,40,50,-993.0,"(22735.0, 5314.0)"
297,40,50,-1005.0,"(22735.0, 5314.0)"
298,40,50,64.0,"(27353.0, 4145.0)"
299,40,50,-1001.0,"(22735.0, 5314.0)"
300,100,5,-211.0,"(25537.0, 5728.0)"
301,100,5,-177.0,"(27353.0, 4145.0)"
302,100,5,-180.0,"(26736.0, 4145.0)"
303,100,5,-196.0,"(25537.0, 5728.0)"
304,100,5,-170.0,"(22735.0, 5314.0)"
305,100,5,-229.0,"(25537.0, 4145.0)"
306,100,5,-214.0,"(25537.0, 5728.0)"
307,100,5,-208.0,"(27353.0, 4145.0)"
308,100,5,-170.0,"(25537.0, 6035.0)"
309,100,5,-198.0,"(27353.0, 4145.0)"
310,100,10,-525.0,"(25537.0, 5728.0)"
311,100,10,-473.0,"(26736.0, 4145.0)"
312,100,10,-488.0,"(25537.0, 6035.0)"
313,100,10,-481.0,"(22735.0, 5314.0)"
314,100,10,-518.0,"(26736.0, 4145.0)"
315,100,10,-530.0,"(24210.0, 5955.0)"
