,z,xy,focus,file,brenner,range,entropy,sobel,variance,power,nz
39,9289.0,"(24210.0, 5955.0)",9380.0,D:\WorkDrive\Images\FL\009289z_024210x_005955y_093797F.tiff,27707962.0,38683.0,6.555461369056401,3044600632.0,887.875076533238,411596873.0,-91.0
40,9289.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009289z_025537x_004145y_093834F.tiff,27104194.0,46353.0,6.191879580655125,3180521484.0,487.0492693648046,1941428440.0,-94.0
41,9289.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009289z_026736x_004145y_093692F.tiff,27728030.0,47211.0,6.5378105674253755,-1240097484.0,869.6027559660304,576420744.0,-80.0
42,9289.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009289z_027353x_004145y_093672F.tiff,16227766.0,148040.0,4.972653801748189,-1096379480.0,158.396643186072,4252927247.0,-78.0
43,9290.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009290z_025537x_005728y_093729F.tiff,21828960.0,150793.0,5.3772417417793825,2589616560.0,535.2556127165979,2482193649.0,-83.0
44,9290.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009290z_025537x_006035y_093706F.tiff,19854212.0,143899.0,5.524047184081978,481640204.0,888.5206986558105,2893477963.0,-81.0
45,9291.0,"(24210.0, 5955.0)",9380.0,D:\WorkDrive\Images\FL\009291z_024210x_005955y_093797F.tiff,27863174.0,40028.0,6.570188262169617,515977080.0,926.3150071188172,509354764.0,-89.0
46,9291.0,"(25537.0, 4145.0)",9383.0,D:\WorkDrive\Images\FL\009291z_025537x_004145y_093834F.tiff,27023694.0,48558.0,6.207331780923926,-1566074196.0,507.72155386382644,2014641647.0,-92.0
47,9291.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009291z_026736x_004145y_093692F.tiff,27602498.0,49555.0,6.540778699062771,-1298114656.0,893.8296173943953,592760987.0,-78.0
48,9291.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009291z_027353x_004145y_093672F.tiff,16478876.0,149925.0,4.969596648906798,-784432012.0,163.52645108082632,4270996790.0,-76.0
49,9292.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009292z_025537x_005728y_093729F.tiff,21894250.0,154658.0,5.3510377719544975,2820706740.0,552.6926407690684,2478355191.0,-81.0
